officename,pincode,officetype,deliverystatus,regionname,circlename,taluk,districtname,statename,telephone,relatedsuboffice,,relatedheadoffice
Hazrat Nizamuddin S.O,110013,S.O,Delivery,New Delhi South,Delhi,Delhi,New Delhi,DELHI,011-24358212,NA,Lodi Road H.O,
Jaitpur B.O,110044,B.O,Non-Delivery,New Delhi South,Delhi,Delhi,New Delhi,DELHI,NA,Badarpur S.O (South Delhi),Kalkaji H.O,
Jaitpur S.O (South Delhi),110044,S.O,Non-Delivery,New Delhi South,Delhi,Delhi,NA,DELHI,011-26945141,NA,Kalkaji H.O,
Jamia Nagar S.O,110025,S.O,Non-Delivery,New Delhi South,Delhi,Delhi,New Delhi,DELHI,011-26980066,NA,Kalkaji H.O,
Jeevan Nagar B.O,110014,B.O,Non-Delivery,New Delhi South,Delhi,Delhi,New Delhi,DELHI,NA,Jungpura S.O,Lodi Road H.O,
Jungpura S.O,110014,S.O,Delivery,New Delhi South,Delhi,Delhi,New Delhi,DELHI,011-24313511,NA,Lodi Road H.O,
Kailash Colony S.O,110048,S.O,Non-Delivery,New Delhi South,Delhi,Delhi,New Delhi,DELHI,011-26432267,NA,Kalkaji H.O,
Kalkaji H.O,110019,H.O,Delivery,New Delhi South,Delhi,Delhi,New Delhi,DELHI,011-26433693,NA,NA,
Kasturba Nagar S.O (South Delhi),110003,S.O,Non-Delivery,New Delhi South,Delhi,Delhi,New Delhi,DELHI,011-24651501,NA,Lodi Road H.O,
Khanpur S.O (South Delhi),110062,S.O,Non-Delivery,New Delhi South,Delhi,Delhi,New Delhi,DELHI,011-26074994,NA,Kalkaji H.O,
Krishna Market S.O,110024,S.O,Non-Delivery,New Delhi South,Delhi,Delhi,New Delhi,DELHI,011-29813410,NA,Lodi Road H.O,
Lajpat Nagar (South Delhi) S.O,110024,S.O,Delivery,New Delhi South,Delhi,Delhi,New Delhi,DELHI,011-29832389,NA,Lodi Road H.O,
Lal Kuan B.O,110044,B.O,Non-Delivery,New Delhi South,Delhi,Delhi,New Delhi,DELHI,NA,Badarpur S.O (South Delhi),Kalkaji H.O,
Lodi Road H.O,110003,H.O,Delivery,New Delhi South,Delhi,Delhi,New Delhi,DELHI,011-24692329,NA,NA,
Madanpur Khadar B.O,110076,B.O,Non-Delivery,New Delhi South,Delhi,Delhi,New Delhi,DELHI,NA,Sarita Vihar S.O,Kalkaji H.O,
Malviya Nagar S.O (South Delhi),110017,S.O,Delivery,New Delhi South,Delhi,Delhi,New Delhi,DELHI,011-26680354,NA,Lodi Road H.O,
Masjid Moth S.O,110048,S.O,Non-Delivery,New Delhi South,Delhi,Delhi,New Delhi,DELHI,011-29223500,NA,Kalkaji H.O,
MMTC/STC Colony S.O,110017,S.O,Non-Delivery,New Delhi South,Delhi,Delhi,New Delhi,DELHI,011-26966252,NA,Lodi Road H.O,
Molarband B.O,110044,B.O,Non-Delivery,New Delhi South,Delhi,Delhi,New Delhi,DELHI,NA,Badarpur S.O (South Delhi),Kalkaji H.O,
Nehru Nagar S.O (South Delhi),110065,S.O,Non-Delivery,New Delhi South,Delhi,Delhi,New Delhi,DELHI,011-26318088,NA,Lodi Road H.O,
Nehru Place S.O,110019,S.O,Non-Delivery,New Delhi South,Delhi,Delhi,New Delhi,DELHI,011-26418239,NA,Kalkaji H.O,
New Delhi South Ext-II S.O,110049,S.O,Non-Delivery,New Delhi South,Delhi,Delhi,New Delhi,DELHI,011-26259768,NA,Lodi Road H.O,
New Friends Colony S.O,110025,S.O,Delivery,New Delhi South,Delhi,Delhi,New Delhi,DELHI,011-26844043,NA,Kalkaji H.O,
Okhla Industrial Area Phase-i S.O,110020,S.O,Non-Delivery,New Delhi South,Delhi,Delhi,New Delhi,DELHI,011-26810292,NA,Kalkaji H.O,
Okhla Industrial Estate S.O,110020,S.O,Delivery,New Delhi South,Delhi,Delhi,New Delhi,DELHI,011-26840251,NA,Kalkaji H.O,
Panchsheel Enclave S.O,110017,S.O,Non-Delivery,New Delhi South,Delhi,Delhi,New Delhi,DELHI,011-26490248,NA,Lodi Road H.O,
Pragati Vihar S.O,110003,S.O,Non-Delivery,New Delhi South,Delhi,Delhi,New Delhi,DELHI,011-24369589,NA,Lodi Road H.O,
Pratap Market S.O,110014,S.O,Non-Delivery,New Delhi South,Delhi,Delhi,New Delhi,DELHI,011-24371544,NA,Lodi Road H.O,
Pul Pahladpur B.O,110044,B.O,Non-Delivery,New Delhi South,Delhi,Delhi,New Delhi,DELHI,NA,Badarpur S.O (South Delhi),Kalkaji H.O,
Pushp Vihar S.O,110017,S.O,Non-Delivery,New Delhi South,Delhi,Delhi,New Delhi,DELHI,011-29565324,NA,Lodi Road H.O,
Pushpa Bhawan S.O,110062,S.O,Delivery,New Delhi South,Delhi,Delhi,New Delhi,DELHI,011-29053816,NA,Kalkaji H.O,
